The document id, The normalized weight of the word in the document
267.html, 0.395
271.html, 0.818
273.html, 0.658
304.html, 0.247
308.html, 0.374
309.html, 1.013
304.html, 0.494
299.html, 0.583
304.html, 0.165
309.html, 0.338
337.html, 0.066
344.html, 0.036
347.html, 0.039
360.html, 0.034
362.html, 0.044
365.html, 0.033
369.html, 0.034
363.html, 0.278
354.html, 0.255
339.html, 0.088
360.html, 0.079
364.html, 0.065
043.html, 0.201
343.html, 0.322
066.html, 0.256
137.html, 0.137
223.html, 0.567
240.html, 0.140
244.html, 0.216
119.html, 0.569
137.html, 0.172
272.html, 0.253
335.html, 0.342
346.html, 0.228
002.html, 0.070
043.html, 0.006
052.html, 0.086
098.html, 0.121
161.html, 0.140
174.html, 0.097
236.html, 0.049
237.html, 0.066
239.html, 0.116
240.html, 0.023
252.html, 0.068
266.html, 0.926
271.html, 0.079
272.html, 0.131
274.html, 0.120
281.html, 0.027
289.html, 0.031
292.html, 0.026
298.html, 0.013
328.html, 0.034
331.html, 0.021
333.html, 0.015
335.html, 0.088
379.html, 0.117
380.html, 0.095
381.html, 0.020
382.html, 0.044
383.html, 1.772
393.html, 0.027
396.html, 0.377
397.html, 0.607
250.html, 0.392
266.html, 0.287
383.html, 1.156
397.html, 0.196
266.html, 0.383
383.html, 1.927
397.html, 0.261
266.html, 0.766
272.html, 0.675
383.html, 0.193
161.html, 0.272
174.html, 0.376
222.html, 0.148
237.html, 0.255
269.html, 0.091
272.html, 0.127
276.html, 0.151
339.html, 0.033
383.html, 0.289
397.html, 0.392
098.html, 0.751
250.html, 0.313
323.html, 0.181
383.html, 0.116
397.html, 0.157
181.html, 0.437
433.html, 0.061
342.html, 0.246
398.html, 0.295
401.html, 0.290
429.html, 0.291
431.html, 0.287
371.html, 0.312
433.html, 0.025
434.html, 0.015
435.html, 0.015
436.html, 0.037
437.html, 0.017
433.html, 0.061
216.html, 3.266
437.html, 0.173
434.html, 0.073
435.html, 0.073
137.html, 0.515
152.html, 0.135
249.html, 0.260
289.html, 0.121
005.html, 0.024
104.html, 0.193
114.html, 0.116
119.html, 0.044
125.html, 0.177
132.html, 0.365
137.html, 0.053
138.html, 0.197
143.html, 0.242
145.html, 1.066
152.html, 0.021
216.html, 0.251
249.html, 0.160
250.html, 0.181
251.html, 0.063
252.html, 0.081
254.html, 0.068
256.html, 0.163
259.html, 0.151
279.html, 0.022
282.html, 0.019
331.html, 0.025
335.html, 0.053
339.html, 0.010
346.html, 0.009
384.html, 0.045
119.html, 0.569
276.html, 0.603
002.html, 0.066
006.html, 2.079
147.html, 0.407
152.html, 0.098
230.html, 0.242
295.html, 0.151
348.html, 0.023
376.html, 0.022
433.html, 0.006
434.html, 0.007
435.html, 0.007
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
279.html, 1.170
279.html, 0.585
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
461.html, 0.207
466.html, 0.390
468.html, 0.415
469.html, 0.570
492.html, 0.182
498.html, 0.200
064.html, 1.935
354.html, 0.510
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
462.html, 0.761
433.html, 0.031
435.html, 0.037
434.html, 0.036
435.html, 0.037
434.html, 0.036
435.html, 0.037
433.html, 0.086
434.html, 0.087
435.html, 0.073
436.html, 0.075
437.html, 0.156
434.html, 0.024
435.html, 0.024
436.html, 0.031
289.html, 0.080
433.html, 0.010
434.html, 0.012
435.html, 0.012
436.html, 0.016
437.html, 0.014
445.html, 1.359
010.html, 0.127
038.html, 0.214
042.html, 0.077
043.html, 0.007
074.html, 0.082
141.html, 0.069
149.html, 0.405
159.html, 0.085
180.html, 0.345
195.html, 0.129
239.html, 0.067
272.html, 0.037
325.html, 0.034
335.html, 0.051
339.html, 0.010
349.html, 0.018
353.html, 0.012
359.html, 0.009
365.html, 0.008
370.html, 0.008
375.html, 0.009
376.html, 0.009
381.html, 0.023
382.html, 0.025
384.html, 0.043
389.html, 0.101
390.html, 0.051
156.html, 0.854
041.html, 0.316
055.html, 0.326
066.html, 0.085
076.html, 0.067
114.html, 0.201
137.html, 0.046
146.html, 0.070
156.html, 0.057
160.html, 0.184
180.html, 0.621
197.html, 0.103
209.html, 0.211
289.html, 0.032
301.html, 0.075
386.html, 0.102
043.html, 0.033
066.html, 0.213
308.html, 0.125
360.html, 0.039
364.html, 0.032
390.html, 0.116
260.html, 0.787
022.html, 0.193
298.html, 0.081
377.html, 0.051
389.html, 0.181
393.html, 0.167
484.html, 2.634
002.html, 0.159
005.html, 0.078
007.html, 0.011
010.html, 0.062
019.html, 0.009
027.html, 0.281
036.html, 0.075
043.html, 0.022
047.html, 0.034
064.html, 0.035
076.html, 0.073
082.html, 0.021
089.html, 0.095
106.html, 0.084
107.html, 0.795
118.html, 0.038
119.html, 0.021
124.html, 0.122
137.html, 0.012
146.html, 0.019
154.html, 0.062
159.html, 0.084
164.html, 0.067
166.html, 0.242
175.html, 0.119
179.html, 0.040
181.html, 0.032
189.html, 0.050
212.html, 0.520
221.html, 0.218
223.html, 0.773
235.html, 0.020
267.html, 0.022
289.html, 0.009
311.html, 0.019
315.html, 0.021
348.html, 0.005
353.html, 0.011
359.html, 0.004
381.html, 0.011
382.html, 0.037
388.html, 0.018
390.html, 0.076
393.html, 0.015
395.html, 0.023
397.html, 0.114
433.html, 0.059
434.html, 0.049
435.html, 0.041
436.html, 0.020
437.html, 0.016
445.html, 0.099
446.html, 0.030
500.html, 0.055
502.html, 0.062
005.html, 0.204
433.html, 0.010
434.html, 0.012
435.html, 0.012
436.html, 0.016
437.html, 0.014
002.html, 0.121
047.html, 0.313
102.html, 9.315
102.html, 9.315
380.html, 0.123
502.html, 1.141
380.html, 2.209
027.html, 1.200
159.html, 1.154
380.html, 0.921
397.html, 0.196
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.012
434.html, 0.015
435.html, 0.015
