The document id, The normalized weight of the word in the document
339.html, 0.007
342.html, 0.006
344.html, 0.006
346.html, 0.006
353.html, 0.016
359.html, 0.006
362.html, 0.008
363.html, 0.007
376.html, 0.006
377.html, 0.013
381.html, 0.016
383.html, 0.029
392.html, 0.021
393.html, 0.021
427.html, 0.041
495.html, 0.322
359.html, 0.242
022.html, 0.026
043.html, 0.011
119.html, 0.031
137.html, 0.074
147.html, 0.182
152.html, 0.029
179.html, 0.020
189.html, 0.049
197.html, 0.042
205.html, 0.231
240.html, 0.019
242.html, 0.036
243.html, 0.234
247.html, 0.168
258.html, 0.056
282.html, 0.107
286.html, 0.544
288.html, 0.095
315.html, 0.031
327.html, 0.073
334.html, 0.464
337.html, 0.012
339.html, 0.014
340.html, 0.014
343.html, 0.009
345.html, 0.007
359.html, 0.052
360.html, 0.006
375.html, 0.007
376.html, 0.007
384.html, 0.031
433.html, 0.002
434.html, 0.002
435.html, 0.002
436.html, 0.003
437.html, 0.002
459.html, 0.255
343.html, 0.322
359.html, 0.121
365.html, 0.229
022.html, 0.042
043.html, 0.052
152.html, 0.329
163.html, 0.146
189.html, 0.039
197.html, 0.067
205.html, 0.093
242.html, 0.116
243.html, 0.260
247.html, 0.945
258.html, 0.045
269.html, 0.347
276.html, 0.105
279.html, 0.025
280.html, 0.036
282.html, 0.150
286.html, 0.772
304.html, 0.043
309.html, 0.066
323.html, 0.079
334.html, 0.267
358.html, 0.011
376.html, 0.021
343.html, 0.322
148.html, 45.727
435.html, 0.024
436.html, 0.031
437.html, 0.029
326.html, 1.018
310.html, 0.052
338.html, 0.023
339.html, 0.014
340.html, 0.014
343.html, 0.034
349.html, 0.026
351.html, 0.010
352.html, 0.018
357.html, 0.031
358.html, 0.014
359.html, 0.013
360.html, 0.012
362.html, 0.016
364.html, 0.020
365.html, 0.036
367.html, 0.017
368.html, 0.015
370.html, 0.012
377.html, 0.013
374.html, 0.353
346.html, 0.228
362.html, 0.310
351.html, 0.098
377.html, 0.127
353.html, 0.314
348.html, 0.255
356.html, 0.620
286.html, 1.184
031.html, 7.621
344.html, 0.250
342.html, 0.123
364.html, 0.097
433.html, 0.688
434.html, 0.639
435.html, 0.690
436.html, 0.690
437.html, 0.467
344.html, 0.250
398.html, 0.295
401.html, 0.290
429.html, 0.291
431.html, 0.287
351.html, 0.197
344.html, 0.250
348.html, 0.064
357.html, 0.145
363.html, 0.069
365.html, 0.114
341.html, 0.044
351.html, 0.033
356.html, 0.103
359.html, 0.040
370.html, 0.037
375.html, 0.085
365.html, 0.229
338.html, 0.221
338.html, 0.028
342.html, 0.031
346.html, 0.029
360.html, 0.030
361.html, 0.031
362.html, 0.039
365.html, 0.029
370.html, 0.028
358.html, 0.258
356.html, 0.620
337.html, 0.461
344.html, 0.250
339.html, 0.132
351.html, 0.098
185.html, 4.931
342.html, 0.025
347.html, 0.028
348.html, 0.051
352.html, 0.034
356.html, 0.062
357.html, 0.116
360.html, 0.047
368.html, 0.056
369.html, 0.024
372.html, 0.027
363.html, 0.278
356.html, 0.310
375.html, 0.128
342.html, 0.123
375.html, 0.128
338.html, 0.074
339.html, 0.088
348.html, 0.085
339.html, 0.526
338.html, 0.221
345.html, 0.130
341.html, 0.266
352.html, 0.113
357.html, 0.387
372.html, 0.181
370.html, 0.224
338.html, 0.111
352.html, 0.169
372.html, 0.271
240.html, 0.699
375.html, 0.256
451.html, 12.268
022.html, 0.483
304.html, 0.247
339.html, 0.263
330.html, 3.992
364.html, 0.194
365.html, 0.229
352.html, 0.339
339.html, 0.132
342.html, 0.123
351.html, 0.066
355.html, 0.082
364.html, 0.065
359.html, 0.121
377.html, 0.127
339.html, 0.088
369.html, 0.080
377.html, 0.084
351.html, 0.197
377.html, 0.253
351.html, 0.197
349.html, 0.485
345.html, 0.086
364.html, 0.065
368.html, 0.093
341.html, 0.266
375.html, 0.256
349.html, 0.485
338.html, 0.111
343.html, 0.161
352.html, 0.113
361.html, 0.082
372.html, 0.090
342.html, 0.123
373.html, 0.122
342.html, 0.123
370.html, 0.112
346.html, 0.228
348.html, 0.085
358.html, 0.086
370.html, 0.075
340.html, 0.259
341.html, 0.133
342.html, 0.123
372.html, 0.136
377.html, 0.127
309.html, 0.507
454.html, 2.826
492.html, 0.547
498.html, 1.501
501.html, 4.056
360.html, 0.236
345.html, 0.259
341.html, 0.133
371.html, 0.156
343.html, 0.107
370.html, 0.075
374.html, 0.118
344.html, 0.125
374.html, 0.176
376.html, 0.243
341.html, 0.266
347.html, 0.276
371.html, 0.312
433.html, 0.031
435.html, 0.037
341.html, 0.033
343.html, 0.040
345.html, 0.032
351.html, 0.025
356.html, 0.078
363.html, 0.035
374.html, 0.044
376.html, 0.030
337.html, 0.058
339.html, 0.033
345.html, 0.065
362.html, 0.077
364.html, 0.048
369.html, 0.060
370.html, 0.056
375.html, 0.032
338.html, 0.044
340.html, 0.052
345.html, 0.052
355.html, 0.049
376.html, 0.097
352.html, 0.339
348.html, 0.127
377.html, 0.127
342.html, 0.022
345.html, 0.024
348.html, 0.023
350.html, 0.151
358.html, 0.023
362.html, 0.028
364.html, 0.018
365.html, 0.021
367.html, 0.030
368.html, 0.025
374.html, 0.064
339.html, 0.088
340.html, 0.086
353.html, 0.105
337.html, 0.154
345.html, 0.086
348.html, 0.085
338.html, 0.063
345.html, 0.037
348.html, 0.036
360.html, 0.034
363.html, 0.040
370.html, 0.032
375.html, 0.037
369.html, 0.239
341.html, 0.133
352.html, 0.169
336.html, 0.137
340.html, 0.065
345.html, 0.032
348.html, 0.032
351.html, 0.025
359.html, 0.030
360.html, 0.030
370.html, 0.028
234.html, 0.183
235.html, 0.277
346.html, 0.057
347.html, 0.069
368.html, 0.140
375.html, 0.128
339.html, 0.038
359.html, 0.035
364.html, 0.028
369.html, 0.034
372.html, 0.078
374.html, 0.050
375.html, 0.037
359.html, 0.242
340.html, 0.259
343.html, 0.322
343.html, 0.161
366.html, 0.657
346.html, 0.114
376.html, 0.122
362.html, 0.310
234.html, 0.061
235.html, 0.092
343.html, 0.027
399.html, 0.293
400.html, 0.297
402.html, 0.287
404.html, 0.285
406.html, 0.285
409.html, 0.285
411.html, 0.293
430.html, 0.285
432.html, 0.283
343.html, 0.107
346.html, 0.076
377.html, 0.084
337.html, 0.461
356.html, 0.620
360.html, 0.236
368.html, 0.279
344.html, 0.250
339.html, 0.263
343.html, 0.092
350.html, 0.238
355.html, 0.035
362.html, 0.044
365.html, 0.033
366.html, 0.188
368.html, 0.040
347.html, 0.276
352.html, 0.339
354.html, 0.255
018.html, 7.397
433.html, 0.025
434.html, 0.044
435.html, 0.029
436.html, 0.019
437.html, 0.052
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
008.html, 0.890
064.html, 0.387
276.html, 0.241
281.html, 0.164
298.html, 0.081
043.html, 0.603
433.html, 0.020
434.html, 0.024
435.html, 0.024
005.html, 0.613
300.html, 0.282
301.html, 0.140
315.html, 0.145
316.html, 0.547
317.html, 1.585
320.html, 11.338
321.html, 0.911
322.html, 3.060
322.html, 2.226
433.html, 0.031
434.html, 0.036
434.html, 0.073
169.html, 8.383
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
437.html, 0.086
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
435.html, 0.073
433.html, 0.031
434.html, 0.036
433.html, 0.041
434.html, 0.048
435.html, 0.024
433.html, 0.041
434.html, 0.024
437.html, 0.029
434.html, 0.073
433.html, 0.031
434.html, 0.036
434.html, 0.018
435.html, 0.018
436.html, 0.023
437.html, 0.022
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.061
433.html, 0.031
434.html, 0.036
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
436.html, 0.047
437.html, 0.043
433.html, 0.031
434.html, 0.036
433.html, 0.041
434.html, 0.024
437.html, 0.029
191.html, 19.346
436.html, 0.093
436.html, 0.093
484.html, 2.634
434.html, 0.024
436.html, 0.031
437.html, 0.029
433.html, 0.031
434.html, 0.036
433.html, 0.061
031.html, 0.635
147.html, 0.093
152.html, 0.090
298.html, 0.034
304.html, 0.082
309.html, 0.084
318.html, 0.138
326.html, 0.085
328.html, 0.089
329.html, 0.137
359.html, 0.040
370.html, 0.019
119.html, 3.414
043.html, 0.067
044.html, 0.732
278.html, 0.576
152.html, 0.540
379.html, 1.206
318.html, 1.655
005.html, 0.613
345.html, 0.259
118.html, 0.704
043.html, 0.050
133.html, 0.564
179.html, 0.184
435.html, 0.018
407.html, 0.285
410.html, 0.288
412.html, 0.290
414.html, 0.287
281.html, 1.233
382.html, 0.085
383.html, 0.072
390.html, 0.087
391.html, 0.163
395.html, 0.158
397.html, 0.098
433.html, 0.008
433.html, 0.031
434.html, 0.036
001.html, 0.080
002.html, 0.052
401.html, 0.083
403.html, 0.082
405.html, 0.082
407.html, 0.081
410.html, 0.082
412.html, 0.083
414.html, 0.082
416.html, 0.082
418.html, 0.082
421.html, 0.081
425.html, 0.081
428.html, 0.174
003.html, 8.113
284.html, 0.626
311.html, 2.113
338.html, 0.221
338.html, 0.221
359.html, 0.121
370.html, 0.224
372.html, 0.271
363.html, 0.278
372.html, 0.271
342.html, 0.082
348.html, 0.085
374.html, 0.235
341.html, 0.053
345.html, 0.052
347.html, 0.055
352.html, 0.136
368.html, 0.112
363.html, 0.278
351.html, 0.197
345.html, 0.130
360.html, 0.118
344.html, 0.083
345.html, 0.086
363.html, 0.185
363.html, 0.278
360.html, 0.079
363.html, 0.093
372.html, 0.090
353.html, 0.157
359.html, 0.121
345.html, 0.259
352.html, 0.169
355.html, 0.124
337.html, 0.461
372.html, 0.271
346.html, 0.076
355.html, 0.082
368.html, 0.093
370.html, 0.224
371.html, 0.312
058.html, 0.749
289.html, 0.322
349.html, 0.162
359.html, 0.081
360.html, 0.079
368.html, 0.093
362.html, 0.310
353.html, 0.314
298.html, 0.809
351.html, 0.066
364.html, 0.065
370.html, 0.075
337.html, 0.029
339.html, 0.016
340.html, 0.032
344.html, 0.016
345.html, 0.016
346.html, 0.014
347.html, 0.034
348.html, 0.016
349.html, 0.121
354.html, 0.016
355.html, 0.015
358.html, 0.048
364.html, 0.024
372.html, 0.085
375.html, 0.016
377.html, 0.047
360.html, 0.118
372.html, 0.136
339.html, 0.263
345.html, 0.086
351.html, 0.066
371.html, 0.104
342.html, 0.123
360.html, 0.118
375.html, 0.256
339.html, 0.033
340.html, 0.032
342.html, 0.031
343.html, 0.081
348.html, 0.032
354.html, 0.032
355.html, 0.031
365.html, 0.029
351.html, 0.197
339.html, 0.015
340.html, 0.014
341.html, 0.044
342.html, 0.027
343.html, 0.054
344.html, 0.042
347.html, 0.015
349.html, 0.027
351.html, 0.033
354.html, 0.014
355.html, 0.055
360.html, 0.013
364.html, 0.011
369.html, 0.013
371.html, 0.017
373.html, 0.027
374.html, 0.078
377.html, 0.014
354.html, 0.255
354.html, 0.255
376.html, 0.243
354.html, 0.043
355.html, 0.165
359.html, 0.040
365.html, 0.038
367.html, 0.054
368.html, 0.047
336.html, 0.042
337.html, 0.018
338.html, 0.009
339.html, 0.061
340.html, 0.010
342.html, 0.028
343.html, 0.012
344.html, 0.010
345.html, 0.010
347.html, 0.021
348.html, 0.010
349.html, 0.037
353.html, 0.012
358.html, 0.030
359.html, 0.019
360.html, 0.027
361.html, 0.009
364.html, 0.015
365.html, 0.009
367.html, 0.025
368.html, 0.011
371.html, 0.036
372.html, 0.010
373.html, 0.037
376.html, 0.009
377.html, 0.010
337.html, 0.015
338.html, 0.036
339.html, 0.008
340.html, 0.008
342.html, 0.008
343.html, 0.010
344.html, 0.016
345.html, 0.017
346.html, 0.044
347.html, 0.036
348.html, 0.008
349.html, 0.078
351.html, 0.006
353.html, 0.010
354.html, 0.008
358.html, 0.050
359.html, 0.016
360.html, 0.023
362.html, 0.020
363.html, 0.009
364.html, 0.025
367.html, 0.074
368.html, 0.018
369.html, 0.015
370.html, 0.029
371.html, 0.010
372.html, 0.018
373.html, 0.039
374.html, 0.046
376.html, 0.008
377.html, 0.016
359.html, 0.161
360.html, 0.158
369.html, 0.080
341.html, 0.266
340.html, 0.259
349.html, 0.485
337.html, 0.077
338.html, 0.037
351.html, 0.033
354.html, 0.043
362.html, 0.052
375.html, 0.043
377.html, 0.253
360.html, 0.236
359.html, 0.242
338.html, 0.009
339.html, 0.020
342.html, 0.019
344.html, 0.010
345.html, 0.010
346.html, 0.009
347.html, 0.021
351.html, 0.023
352.html, 0.013
353.html, 0.024
354.html, 0.039
355.html, 0.019
356.html, 0.048
357.html, 0.022
360.html, 0.009
361.html, 0.019
362.html, 0.012
364.html, 0.045
365.html, 0.026
366.html, 0.051
368.html, 0.021
369.html, 0.028
370.html, 0.052
373.html, 0.019
374.html, 0.081
375.html, 0.010
346.html, 0.228
354.html, 0.128
373.html, 0.122
344.html, 0.050
345.html, 0.052
358.html, 0.052
364.html, 0.039
368.html, 0.056
358.html, 0.258
336.html, 0.137
338.html, 0.028
346.html, 0.029
348.html, 0.032
362.html, 0.039
365.html, 0.057
374.html, 0.044
375.html, 0.032
336.html, 0.157
347.html, 0.039
348.html, 0.073
359.html, 0.069
360.html, 0.101
368.html, 0.040
374.html, 0.101
349.html, 0.485
344.html, 0.042
348.html, 0.042
358.html, 0.043
373.html, 0.081
375.html, 0.043
377.html, 0.042
358.html, 0.086
360.html, 0.079
369.html, 0.080
337.html, 0.018
339.html, 0.011
340.html, 0.021
342.html, 0.010
343.html, 0.013
344.html, 0.030
345.html, 0.010
346.html, 0.009
347.html, 0.011
350.html, 0.067
351.html, 0.024
352.html, 0.041
353.html, 0.013
354.html, 0.010
357.html, 0.023
360.html, 0.009
362.html, 0.012
364.html, 0.008
365.html, 0.009
368.html, 0.045
370.html, 0.009
371.html, 0.062
373.html, 0.029
374.html, 0.056
375.html, 0.010
351.html, 0.049
362.html, 0.155
373.html, 0.061
375.html, 0.064
337.html, 0.154
343.html, 0.107
373.html, 0.162
336.html, 0.048
337.html, 0.020
338.html, 0.029
339.html, 0.011
340.html, 0.023
341.html, 0.035
342.html, 0.011
343.html, 0.014
348.html, 0.022
351.html, 0.009
352.html, 0.015
353.html, 0.027
355.html, 0.021
360.html, 0.010
361.html, 0.021
363.html, 0.024
365.html, 0.010
366.html, 0.114
367.html, 0.028
368.html, 0.012
369.html, 0.010
370.html, 0.010
374.html, 0.046
354.html, 0.128
370.html, 0.112
354.html, 0.128
365.html, 0.114
371.html, 0.623
371.html, 0.156
373.html, 0.122
341.html, 0.266
342.html, 0.082
346.html, 0.076
370.html, 0.075
342.html, 0.246
337.html, 0.154
357.html, 0.194
367.html, 0.109
358.html, 0.258
360.html, 0.118
361.html, 0.122
340.html, 0.074
345.html, 0.019
346.html, 0.016
347.html, 0.020
348.html, 0.018
351.html, 0.014
355.html, 0.018
358.html, 0.018
359.html, 0.035
365.html, 0.033
368.html, 0.020
369.html, 0.017
372.html, 0.019
377.html, 0.018
345.html, 0.086
346.html, 0.076
360.html, 0.079
340.html, 0.052
347.html, 0.055
358.html, 0.052
364.html, 0.039
365.html, 0.046
368.html, 0.279
371.html, 0.312
361.html, 0.122
371.html, 0.156
347.html, 0.276
369.html, 0.239
365.html, 0.229
337.html, 0.307
370.html, 0.075
375.html, 0.085
341.html, 0.266
351.html, 0.098
354.html, 0.128
338.html, 0.055
341.html, 0.067
354.html, 0.064
372.html, 0.068
351.html, 0.066
373.html, 0.081
375.html, 0.085
341.html, 0.089
358.html, 0.086
369.html, 0.159
338.html, 0.022
346.html, 0.023
351.html, 0.020
355.html, 0.025
357.html, 0.058
362.html, 0.031
368.html, 0.084
369.html, 0.048
370.html, 0.045
374.html, 0.106
371.html, 0.312
354.html, 0.510
373.html, 0.365
364.html, 0.194
343.html, 0.161
370.html, 0.112
377.html, 0.253
339.html, 0.066
341.html, 0.067
357.html, 0.145
364.html, 0.097
337.html, 0.071
338.html, 0.017
339.html, 0.020
341.html, 0.020
342.html, 0.019
343.html, 0.025
344.html, 0.019
345.html, 0.020
347.html, 0.021
349.html, 0.037
351.html, 0.030
365.html, 0.018
377.html, 0.019
373.html, 0.487
373.html, 0.487
351.html, 0.197
355.html, 0.124
370.html, 0.112
347.html, 0.276
374.html, 0.353
362.html, 0.310
339.html, 0.088
349.html, 0.162
364.html, 0.065
342.html, 0.062
372.html, 0.068
374.html, 0.088
377.html, 0.063
339.html, 0.033
340.html, 0.065
347.html, 0.034
349.html, 0.061
355.html, 0.031
362.html, 0.039
369.html, 0.030
372.html, 0.034
372.html, 0.136
375.html, 0.128
353.html, 0.314
338.html, 0.147
349.html, 0.162
370.html, 0.075
346.html, 0.228
363.html, 0.278
340.html, 0.259
337.html, 0.230
376.html, 0.122
361.html, 0.245
348.html, 0.127
373.html, 0.122
348.html, 0.042
367.html, 0.054
368.html, 0.047
369.html, 0.040
371.html, 0.052
373.html, 0.041
344.html, 0.036
358.html, 0.037
359.html, 0.069
360.html, 0.034
367.html, 0.093
372.html, 0.039
375.html, 0.037
358.html, 0.129
361.html, 0.122
346.html, 0.057
347.html, 0.138
361.html, 0.061
373.html, 0.061
357.html, 0.581
347.html, 0.092
352.html, 0.113
369.html, 0.080
354.html, 0.255
371.html, 0.156
373.html, 0.122
364.html, 0.194
433.html, 0.020
435.html, 0.024
436.html, 0.031
347.html, 0.092
360.html, 0.079
372.html, 0.090
001.html, 0.087
282.html, 0.038
403.html, 0.088
405.html, 0.088
407.html, 0.088
410.html, 0.089
412.html, 0.089
414.html, 0.088
416.html, 0.088
418.html, 0.088
421.html, 0.087
425.html, 0.087
433.html, 0.009
137.html, 0.686
027.html, 1.067
207.html, 5.918
018.html, 7.397
340.html, 0.029
344.html, 0.028
346.html, 0.025
347.html, 0.031
348.html, 0.028
364.html, 0.022
365.html, 0.025
370.html, 0.025
373.html, 0.054
401.html, 0.232
403.html, 0.229
405.html, 0.230
407.html, 0.228
410.html, 0.230
152.html, 0.540
435.html, 0.073
147.html, 1.120
161.html, 0.726
240.html, 0.233
358.html, 0.086
409.html, 0.570
411.html, 0.586
413.html, 0.586
415.html, 0.566
417.html, 0.566
417.html, 0.566
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
331.html, 0.642
433.html, 0.031
434.html, 0.036
302.html, 2.553
368.html, 0.279
433.html, 0.061
289.html, 0.483
031.html, 2.540
124.html, 0.749
152.html, 0.180
007.html, 0.310
040.html, 0.822
249.html, 0.519
001.html, 0.020
075.html, 0.068
144.html, 0.104
147.html, 0.020
237.html, 0.109
239.html, 0.032
246.html, 0.022
249.html, 0.056
251.html, 0.029
253.html, 0.058
258.html, 0.018
259.html, 0.035
281.html, 0.044
282.html, 0.009
289.html, 0.017
290.html, 0.025
292.html, 0.043
294.html, 0.191
307.html, 0.010
324.html, 0.066
333.html, 0.024
335.html, 0.049
398.html, 0.021
399.html, 0.063
400.html, 0.064
401.html, 0.021
402.html, 0.062
403.html, 0.020
404.html, 0.061
405.html, 0.021
406.html, 0.061
407.html, 0.020
409.html, 0.061
410.html, 0.021
411.html, 0.063
412.html, 0.021
413.html, 0.063
414.html, 0.021
415.html, 0.061
416.html, 0.020
417.html, 0.061
417.html, 0.061
418.html, 0.020
421.html, 0.020
422.html, 0.061
424.html, 0.062
425.html, 0.020
429.html, 0.021
430.html, 0.061
431.html, 0.021
432.html, 0.061
433.html, 0.001
434.html, 0.001
435.html, 0.001
436.html, 0.002
437.html, 0.002
306.html, 0.798
326.html, 0.339
446.html, 1.103
345.html, 0.130
364.html, 0.097
301.html, 0.745
333.html, 0.151
419.html, 0.621
289.html, 0.483
304.html, 0.987
423.html, 0.697
011.html, 0.676
024.html, 0.484
029.html, 0.084
040.html, 0.063
043.html, 0.023
075.html, 0.145
089.html, 0.403
137.html, 0.158
147.html, 0.043
168.html, 0.144
174.html, 0.116
179.html, 0.028
188.html, 0.137
189.html, 0.105
196.html, 0.261
239.html, 0.069
247.html, 0.040
339.html, 0.020
346.html, 0.009
353.html, 0.012
368.html, 0.011
433.html, 0.002
435.html, 0.003
436.html, 0.004
437.html, 0.003
498.html, 0.046
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
436.html, 0.093
362.html, 0.310
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
011.html, 0.798
043.html, 0.201
137.html, 2.745
435.html, 0.037
346.html, 0.228
339.html, 0.263
344.html, 0.083
346.html, 0.076
359.html, 0.081
282.html, 0.123
283.html, 0.861
309.html, 0.127
328.html, 0.266
105.html, 0.964
327.html, 1.352
152.html, 0.540
138.html, 5.133
122.html, 4.931
152.html, 0.270
389.html, 0.452
058.html, 0.132
234.html, 0.086
235.html, 0.196
267.html, 0.070
276.html, 0.071
277.html, 0.063
279.html, 0.103
281.html, 0.048
282.html, 0.145
283.html, 0.270
285.html, 0.090
287.html, 0.438
323.html, 0.053
330.html, 0.117
349.html, 0.171
364.html, 0.034
446.html, 0.097
236.html, 1.529
234.html, 0.052
236.html, 0.109
251.html, 0.117
267.html, 0.338
282.html, 0.035
283.html, 0.246
287.html, 0.066
298.html, 0.029
328.html, 0.076
346.html, 0.016
349.html, 0.069
353.html, 0.022
361.html, 0.017
364.html, 0.041
353.html, 0.314
347.html, 0.138
356.html, 0.620
356.html, 0.620
333.html, 0.454
445.html, 1.359
445.html, 4.078
435.html, 0.073
434.html, 0.073
437.html, 0.086
006.html, 22.864
433.html, 0.061
022.html, 0.965
433.html, 0.061
434.html, 0.054
435.html, 0.055
437.html, 0.022
073.html, 5.988
250.html, 0.392
257.html, 0.791
433.html, 0.015
433.html, 0.172
434.html, 0.145
435.html, 0.176
436.html, 0.112
437.html, 0.138
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
137.html, 0.686
002.html, 0.049
009.html, 0.238
015.html, 0.385
043.html, 0.013
118.html, 0.047
152.html, 0.036
175.html, 0.435
182.html, 0.313
284.html, 0.083
298.html, 0.027
301.html, 0.149
303.html, 0.175
353.html, 0.021
395.html, 0.253
428.html, 0.326
144.html, 0.836
152.html, 0.077
234.html, 0.209
244.html, 0.308
307.html, 0.077
361.html, 0.035
374.html, 0.101
073.html, 11.976
340.html, 0.259
433.html, 0.031
434.html, 0.036
340.html, 0.043
344.html, 0.042
351.html, 0.033
360.html, 0.039
370.html, 0.037
376.html, 0.081
434.html, 0.036
437.html, 0.043
433.html, 0.061
152.html, 0.540
247.html, 0.517
269.html, 0.363
085.html, 4.837
433.html, 0.020
434.html, 0.024
437.html, 0.029
433.html, 0.061
433.html, 0.061
367.html, 0.327
435.html, 0.073
376.html, 0.243
005.html, 0.613
433.html, 0.012
434.html, 0.044
435.html, 0.015
436.html, 0.019
437.html, 0.017
147.html, 1.120
434.html, 0.024
437.html, 0.029
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
434.html, 0.073
434.html, 0.024
435.html, 0.049
437.html, 0.029
433.html, 0.061
433.html, 0.049
434.html, 0.058
435.html, 0.059
436.html, 0.075
437.html, 0.086
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
303.html, 0.131
304.html, 0.247
305.html, 0.967
310.html, 0.246
152.html, 0.540
002.html, 0.021
064.html, 0.111
085.html, 0.138
160.html, 0.079
172.html, 0.234
230.html, 0.076
241.html, 0.063
244.html, 0.154
249.html, 0.015
252.html, 0.030
258.html, 0.913
266.html, 0.033
269.html, 0.249
272.html, 0.029
279.html, 0.017
280.html, 0.023
288.html, 0.100
289.html, 0.028
323.html, 0.052
326.html, 0.029
333.html, 0.026
348.html, 0.007
363.html, 0.016
368.html, 0.008
380.html, 0.021
381.html, 0.144
382.html, 0.467
385.html, 0.073
386.html, 0.044
387.html, 0.098
389.html, 0.026
393.html, 0.048
394.html, 0.182
445.html, 0.117
447.html, 0.170
338.html, 0.010
340.html, 0.011
342.html, 0.011
343.html, 0.042
344.html, 0.011
345.html, 0.011
346.html, 0.010
347.html, 0.012
349.html, 0.063
354.html, 0.022
355.html, 0.011
358.html, 0.011
360.html, 0.031
363.html, 0.036
364.html, 0.008
367.html, 0.057
368.html, 0.012
369.html, 0.021
370.html, 0.010
371.html, 0.027
372.html, 0.012
373.html, 0.011
375.html, 0.045
351.html, 0.197
352.html, 0.169
355.html, 0.124
338.html, 0.022
343.html, 0.048
344.html, 0.013
349.html, 0.024
351.html, 0.010
354.html, 0.013
355.html, 0.012
356.html, 0.031
357.html, 0.058
359.html, 0.012
360.html, 0.012
361.html, 0.024
362.html, 0.015
363.html, 0.014
364.html, 0.010
369.html, 0.024
371.html, 0.031
373.html, 0.012
375.html, 0.026
376.html, 0.012
349.html, 0.162
372.html, 0.090
375.html, 0.085
371.html, 0.312
357.html, 0.581
370.html, 0.224
337.html, 0.154
368.html, 0.186
372.html, 0.090
353.html, 0.314
375.html, 0.256
345.html, 0.130
346.html, 0.057
347.html, 0.069
353.html, 0.235
433.html, 0.061
354.html, 0.255
354.html, 0.255
351.html, 0.394
246.html, 0.603
333.html, 0.227
340.html, 0.259
082.html, 0.147
146.html, 0.066
240.html, 0.044
243.html, 0.042
244.html, 0.135
258.html, 0.064
271.html, 0.153
272.html, 0.063
333.html, 0.028
348.html, 0.016
360.html, 0.015
381.html, 0.039
382.html, 0.213
384.html, 0.145
388.html, 0.062
397.html, 0.049
434.html, 0.073
298.html, 0.202
315.html, 0.578
358.html, 0.258
144.html, 1.462
282.html, 0.246
298.html, 0.101
333.html, 0.113
002.html, 0.146
133.html, 0.451
256.html, 0.282
301.html, 0.224
370.html, 0.045
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
338.html, 0.025
341.html, 0.030
349.html, 0.054
351.html, 0.044
354.html, 0.028
357.html, 0.065
359.html, 0.027
374.html, 0.118
377.html, 0.056
338.html, 0.028
352.html, 0.042
354.html, 0.032
363.html, 0.035
364.html, 0.024
365.html, 0.171
369.html, 0.030
373.html, 0.030
339.html, 0.132
341.html, 0.133
354.html, 0.255
346.html, 0.228
351.html, 0.197
374.html, 0.353
361.html, 0.245
339.html, 0.038
340.html, 0.037
341.html, 0.038
349.html, 0.069
365.html, 0.033
374.html, 0.151
377.html, 0.036
347.html, 0.276
346.html, 0.228
374.html, 0.706
339.html, 0.044
342.html, 0.041
347.html, 0.046
361.html, 0.041
370.html, 0.037
374.html, 0.353
351.html, 0.197
354.html, 0.255
341.html, 0.044
349.html, 0.081
358.html, 0.086
365.html, 0.038
370.html, 0.037
375.html, 0.043
362.html, 0.310
367.html, 0.327
342.html, 0.082
358.html, 0.086
372.html, 0.090
361.html, 0.245
343.html, 0.064
347.html, 0.165
362.html, 0.062
365.html, 0.046
374.html, 0.141
364.html, 0.194
354.html, 0.255
338.html, 0.147
365.html, 0.076
369.html, 0.080
370.html, 0.224
340.html, 0.037
345.html, 0.037
349.html, 0.069
360.html, 0.068
361.html, 0.035
371.html, 0.045
376.html, 0.035
338.html, 0.039
339.html, 0.015
348.html, 0.015
351.html, 0.012
353.html, 0.018
354.html, 0.015
355.html, 0.029
358.html, 0.015
360.html, 0.014
362.html, 0.018
363.html, 0.033
364.html, 0.011
365.html, 0.027
367.html, 0.038
370.html, 0.026
374.html, 0.083
377.html, 0.030
370.html, 0.224
362.html, 0.077
370.html, 0.056
372.html, 0.068
374.html, 0.265
374.html, 0.353
374.html, 0.353
339.html, 0.053
347.html, 0.018
351.html, 0.013
354.html, 0.034
358.html, 0.017
362.html, 0.021
364.html, 0.013
367.html, 0.022
368.html, 0.019
370.html, 0.015
371.html, 0.042
